Timestamp,What is your program?,What is your gender?,What is your AGE as of your last birthday?,What is your HEIGHT (to the nearest centimetre)?,What is your WEIGHT (to the nearest kilogram)?,What was your AVERAGE MONTHLY SALARY (to the nearest $100) at your last full time employment prior to enrolling at BCIT?,What MONTHLY SALARY (to the nearest $100) would you EXPECT if you were to seek employment immediately after obtaining your diploma?,"After graduation, for which one of the following TYPES OF ORGANIZATION would you most prefer to work?",Do you LIVE WITH YOUR PARENTS? ,What are your MONTHLY EXPENSES for FOOD and LODGING?,What MODE of TRANSPORT do you use most often to get to and from BCIT?,What is your COST per MONTH for TRANSPORTATION to and from BCIT?,What is your COST per MONTH for ENTERTAINMENT?,"Are you right-handed, Left-handed or ambidextrous?",What is your COST per MONTH for your CELL PHONE?,Do you SMOKE cigarettes? ,What is your foot size in INCHES?,How many alcoholic drinks do you have per week?,Do you have a tattoo?,"On average, how many hours per night do you sleep?",How much time in hours do you spend each week on social netorking sites?,How many hours per week do you spend studying/doing homework?,How many hours a week are you working (part-time or full-time employment) outside of BCIT?,Have you traveled outside of North America?,Do you pay entirely for your own tuition?,How many cups of coffee do you drink on average each day?,BMI
2019/02/04 11:26:35 am GMT-8,HRMG,Female,22,177.8,110.0,1400.0,4000.0,3. Non-profit or Government Agency,No,700.0,1. Walk,0.0,100.0,0. Right-handed,68.0,No,11.12,0,Yes,8,10,10,0,Yes,No,0.0,34.79598795932286
2019/02/04 11:27:45 am GMT-8,HRMG,Female,24,175.0,63.0,2000.0,3750.0,2. Small Company,Yes,300.0,3. Drive,,150.0,0. Right-handed,60.0,No,9.5,0,Yes,8,7,20,0,Yes,Yes,2.0,20.571428571428573
2019/02/04 11:27:46 am GMT-8,HRMG,Male,24,182.88,100.0,2000.0,3500.0,2. Small Company,Yes,200.0,3. Drive,100.0,150.0,1. Left-handed,82.0,No,10.5,1,No,6,20,20,8,Yes,No,0.0,29.899751157527007
2019/02/04 11:29:06 am GMT-8,HRMG,Female,34,162.6,61.3,2500.0,3500.0,1. Large Corporation,Yes,300.0,3. Drive,,400.0,0. Right-handed,70.0,No,7,0,Yes,7-8,14,20,0,Yes,No,1.0,23.185656210805654
2019/02/04 11:29:12 am GMT-8,HRMG,Female,24,160.0,54.0,0.0,3800.0,2. Small Company,Yes,500.0,3. Drive,300.0,100.0,0. Right-handed,90.0,No,size 8 in inches,0-3,No,6-7,6 hours,11 hours,0,Yes,Yes,1.0,21.093749999999996
2019/02/04 11:29:30 am GMT-8,HRMG,Female,24,164.0,65.0,2500.0,5000.0,2. Small Company,Yes,500.0,2. Public Transport,40.0,150.0,0. Right-handed,55.0,No,9.25,0,No,7,20,25,0,Yes,Yes,0.0,24.167162403331353
2019/02/04 11:29:38 am GMT-8,HRMG,Female,27,153.0,55.0,2300.0,3000.0,2. Small Company,No,400.0,3. Drive,,100.0,0. Right-handed,120.0,No,6,0,Yes,7,8,25,12,Yes,Yes,1.0,23.49523687470631
2019/02/04 11:31:56 am GMT-8,HRMG,Female,27,170.0,70.0,0.0,3500.0,2. Small Company,Yes,100.0,2. Public Transport,60.0,100.0,0. Right-handed,60.0,No,,1,No,5,2 ,28,,Yes,No,1.0,24.221453287197235
2019/02/04 11:33:25 am GMT-8,HRMG,Male,26,170.0,70.0,2950.0,5000.0,1. Large Corporation,No,1200.0,3. Drive,60.0,100.0,2. Ambidextrous,60.0,No,,,Yes,,,,,Yes,No,1.0,24.221453287197235
2019/02/04 11:34:05 am GMT-8,HRMG,Male,40,185.0,90.0,2000.0,4000.0,1. Large Corporation,No,3000.0,2. Public Transport,50.0,200.0,0. Right-handed,80.0,No,13,0,Yes,7,3,14,0,Yes,No,3.0,26.296566837107374
